sample,reference,np_source,np_type,np_core,diameter_mean,diameter_max,diameter_min,length_mean,length_max,length_min,molecular_weight,density,dispersity_original,hydrodynamic_size,dispersity_water,surface_area,aggregate_size_mean,aggregate_size_max,aggregate_size_min,zeta_potential,image,shape,purity,coating,coating_material,crystalline,centrifuge,stir,stirring,stirring_rate,sonication,sonication2,sonication_freq.,filter,solubilization_media,maximal_dose,minimal_dose,dissolved_cation,ph,exposure_time,exposure_day,water,materials_in_water,concentration_of_materials,number_of_daphina,daphnia_age_hour,test_solution,container_size,repeating_number,rpm,food ,menu,food_concentration,test_solution_renewer,temperature,radiation,ec50,ec_ul,ec_ll,immobilisation_rate,immobilisation_concentration,lc50,lc_ul,lc_ll,mortality,mortality_concentration,others_feature
54,6,"Alfa Aesar, Ward Hill, MA USA",Carbon,C60,,,,,,,,,,,,,15.0,20.0,10.0,,1.0,,,,,,,,,,,,,0.22,,0.88,0.04,,,48,2.0,standard synthetic freshwater (moderately hard),tetrahydrofuran,200.0,10,24.0,50.0,500.0,4.0,0.0,0.0,,,,20.0,,,,,,,,,,100.0,0.88,독성데이터 추가
55,7,BASF SE,MeOx,TiO2,25.0,30.0,20.0,,,,,,,1500.0,,48.6,1500.0,14000.0,50.0,,0.0,sphere,99.5,0.0,,anatase(7):rutile(3),,,,,1.0,5.0,,,,100.0,0.01,,8.05,48,2.0,Artificial Elendt M4 medium,,,10,24.0,10.0,,4.0,0.0,0.0,,,,20.0,,,,,10.0,85.1,,,,,,"Commercial 추가, 단위 환산 error, purity 수정, 독성 데이터 수정"
56,7,BASF SE,MeOx,TiO2,25.0,30.0,20.0,,,,,,,1500.0,,48.6,1500.0,14000.0,50.0,,0.0,sphere,99.5,0.0,,anatase(7):rutile(3),,,,,1.0,5.0,,,,100.0,0.01,,8.05,48,2.0,Artificial Elendt M4 medium,,,10,24.0,10.0,,4.0,0.0,0.0,,,,20.0,,,,,10.0,91.2,,,,,,독성 데이터 수정
57,7,BASF SE,MeOx,TiO2,25.0,30.0,20.0,,,,,,,1500.0,,48.6,1500.0,14000.0,50.0,,0.0,sphere,99.5,0.0,,anatase(7):rutile(3),,,,,1.0,5.0,,,,100.0,0.01,,8.05,48,2.0,SW,TOC,1.3,10,24.0,10.0,,4.0,0.0,0.0,,,,20.0,,,,,10.0,3.7,,,,,,독성 데이터 수정
58,7,BASF SE,MeOx,TiO2,10.0,,,50.0,,,,,,7000.0,,100.0,7000.0,200000.0,190.0,,1.0,,71.0,1.0,"dimethoxydiphenylsilane, triethoxy-caprylylsilane crosspolymer, hydrated silica, aluminum hydroxide",rutile,,1.0,20.0,,1.0,5.0,,,,100.0,0.01,,8.05,48,2.0,Artificial Elendt M4 medium,,,10,24.0,10.0,,4.0,0.0,0.0,,,,20.0,,,,,10.0,76.4,,,,,,"Commercial 추가, 단위 환산 error, purity 수정"
59,7,BASF SE,MeOx,TiO2,250.0,300.0,200.0,,,,,,,5000.25,,6.0,5000.25,10000.0,0.5,,0.0,,99.4,0.0,,,,,,,1.0,5.0,,,,100.0,0.01,,8.05,48,2.0,Artificial Elendt M4 medium,,,10,24.0,10.0,,4.0,0.0,0.0,,,,20.0,,,,,10.0,91.2,,,,,,독성 데이터 수정
60,7,BASF SE,MeOx,TiO2,250.0,300.0,200.0,,,,,,,5000.25,,6.0,5000.25,10000.0,0.5,,0.0,,99.4,0.0,,,,,,,1.0,5.0,,,,100.0,0.01,,8.05,48,2.0,SW,TOC,1.3,10,24.0,10.0,,4.0,0.0,0.0,,,,20.0,,,,,10.0,13.8,,,,,,독성 데이터 수정
61,7,BASF SE,MeOx,ZnO,200.0,200.0,,,,,,,,2600.0,,18.0,2600.0,6400.0,1000.0,,1.0,,99.0,0.0,,,,1.0,20.0,,1.0,5.0,,,,100.0,0.01,,8.05,48,2.0,Artificial Elendt M4 medium,,,10,24.0,10.0,,4.0,0.0,0.0,,,,20.0,,7.5,,,50.0,7.5,,,,,,"Commercial 추가, 단위 환산 error, purity 수정"
62,7,BASF SE,MeOx,ZnO,200.0,200.0,,,,,,,,2600.0,,18.0,2600.0,6400.0,1000.0,,1.0,,99.0,0.0,,,,1.0,20.0,,1.0,5.0,,,,100.0,0.01,,8.05,48,2.0,Artificial Elendt M4 medium,,,10,24.0,10.0,,4.0,0.0,0.0,,,,20.0,,,,,10.0,5.2,,,,,,독성 데이터 수정
63,7,BASF SE,MeOx,ZnO,200.0,200.0,,,,,,,,1300.0,,18.0,1300.0,5700.0,110.0,,1.0,,97.5,1.0,triethoxycaprylylsilane,,,,,,1.0,5.0,,,,100.0,0.01,,8.05,48,2.0,Artificial Elendt M4 medium,,,10,24.0,10.0,,4.0,0.0,0.0,,,,20.0,,1.1,,,50.0,1.1,,,,,,"Commercial 추가, 단위 환산 error, purity 수정"
